Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4/30/2014 1:00,8358.04803842247,1029.33283433568,1692.39440554769,618.327220865072,8376.8178764188,2532.71585403509,4493.41086941189,803.833523963334,27904.880623
4/30/2014 1:59,7931.16059654803,1004.35958684148,1669.50695793587,603.364144987779,7955.90764600367,2350.01900653395,4205.10011885191,777.581339297285,26496.999397
4/30/2014 3:00,7686.19572647025,968.750628119184,1658.39639769717,595.195461959336,7737.24349747256,2223.71369945085,4020.0996300934,765.470469737264,25655.065511
4/30/2014 4:00,7586.73630302441,945.835453409367,1657.72481262715,597.923249819718,7685.88092823341,2135.42972318083,3935.27982570626,762.074216998856,25306.884513
4/30/2014 4:59,7681.06789552274,964.526289172685,1662.30794014498,607.229179933147,7830.82085449227,2101.21523244544,3964.35312347003,766.796549818695,25578.317065
4/30/2014 6:00,8186.91840172161,1020.04028332016,1687.82835002145,638.746095680481,8572.70646468645,2187.16643982846,4256.56033574574,802.440734995665,27352.407106
4/30/2014 7:00,8855.51103118632,1163.32695869506,1755.02950551676,704.002978404465,9824.42417666362,2465.19163049669,4876.42428784861,884.061114188464,30527.971683
4/30/2014 7:59,8947.76966327663,1218.16019064488,1783.53797239353,723.321808552603,10291.8105842208,2502.98264689633,5023.39279248709,915.050742528123,31406.026401
4/30/2014 9:00,9250.26626060998,1224.70908575459,1781.29397958953,727.765161181245,10373.6391043358,2501.15574361507,5059.19278966995,921.827337243847,31839.849462
4/30/2014 10:00,9501.72361059507,1212.28580230213,1795.50998116093,729.685619772351,10545.4121695954,2580.36554142834,5175.4114784577,934.771135688069,32475.165339
4/30/2014 10:59,9682.47387326387,1238.52535719989,1799.54692442576,736.182678226338,10718.0344662776,2665.15135886847,5301.66116285564,944.626496882428,33086.202318
4/30/2014 12:00,9871.99922567813,1255.17605886203,1799.89894259252,733.779031363593,10802.3228717449,2733.54038622752,5388.32613923187,951.276238299436,33536.318894
4/30/2014 13:00,9976.9194423992,1244.1124853585,1799.91248466439,728.919310116846,10788.2746360911,2802.29972890853,5469.72616634428,954.263874117078,33764.428128
4/30/2014 13:59,10195.5496031257,1217.04482926047,1814.27909775681,726.515778192897,10802.9703859989,2918.33787774467,5589.90432414534,964.924390775223,34229.526287
4/30/2014 15:00,10430.5436610077,1230.96248645775,1830.71848531979,722.466967056914,10781.9449623548,3022.46752797094,5722.67555158596,979.459026246123,34721.238668
4/30/2014 16:00,10691.0161762318,1248.95702973115,1832.32864279191,717.453066673766,10757.9963243442,3102.62265039641,5881.9032001048,990.075420725945,35222.352511
4/30/2014 16:59,10912.0617138834,1281.22680412386,1845.34372802303,721.824077932764,10836.5014099834,3153.56354397025,6081.5921365709,1010.07529951237,35842.188714
4/30/2014 18:00,10902.6326770602,1208.50742931863,1842.74950247796,718.208513553444,10871.3885680165,3128.73011758463,6181.55180801413,1015.10425597449,35868.872872
4/30/2014 19:00,10514.8009002187,1212.54806634191,1835.96966862536,715.161886741014,10754.0790151258,3047.1898962739,6161.3910473335,1006.65053733979,35247.791018
4/30/2014 19:59,10252.3311987936,1189.92077564128,1821.19772663465,712.860615833954,10629.1574850843,2956.76708540992,5997.34177811291,988.950464489456,34548.52713
4/30/2014 21:00,10458.0288974183,1244.72232655406,1830.94491012737,741.139489162477,11061.1922537426,3055.35019554613,6062.74080757516,994.519608873851,35448.638489
4/30/2014 22:00,10112.6579973402,1222.17771902208,1843.25089986569,739.061818829495,10893.7109244366,3008.41175015588,5908.51919615197,993.292463197981,34721.082769
4/30/2014 22:59,9343.5760087271,1166.16163327007,1788.16982358276,691.045268516649,9971.8200727761,2776.66127321323,5353.62066859801,926.921893316112,32017.976642
5/1/2014 0:00,8541.349,1088.56048,1718.38871,645.61816,8956.673,2465.1993,4705.20754,859.64512,28980.64131
5/1/2014 1:00,8000.2826854472,991.794034968417,1670.03022921493,624.658826271005,8274.55099303496,2232.68147003112,4212.73309264748,826.748357384899,26833.479689
5/1/2014 1:59,7733.52635816487,986.388099237126,1652.33015706967,613.813754390807,7954.00413185967,2094.05153729213,4005.56225148335,801.377157502373,25841.053447
5/1/2014 3:00,7582.48876561192,977.421680596611,1642.88871705483,613.204475495265,7743.75915094323,2011.97088438161,3867.56858969004,789.699963226491,25229.002227
